title,title_english,title_romaji,title_native,year,season,format,episodes,canonical_key,mal_id,anilist_id,kitsu_id,anidb_id,imdb_id,tvdb_id,tmdb_id,simkl_id,status,progress,score,last_updated,source
"""Omae Gotoki ga Maou ni Kateru to Omouna"" to Yuusha Party wo Tsuihou sareta node, Outo de Kimama ni Kurashitai",ROLL OVER AND DIE: I Will Fight for an Ordinary Life with My Love and Cursed Sword!,"""Omae Gotoki ga Maou ni Kateru to Omouna"" to Yuusha Party wo Tsuihou sareta node, Outo de Kimama ni Kurashitai",「お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので,2026,WINTER,TV,12,mal_61587,61587,191718,50334,19310,tt37901124,463013,285357,2765276,completed,12,0,2026-07-21T18:20:18+00:00,
100-man no Inochi no Ue ni Ore wa Tatteiru,I'm Standing on a Million Lives,100-man no Inochi no Ue ni Ore wa Tatteiru,100万の命の上に俺は立っている,2020,FALL,TV,12,mal_41380,41380,116242,43367,15415,tt12706854,383518,99995,1292945,completed,12,0,2026-07-05T13:37:52+00:00,
100-man no Inochi no Ue ni Ore wa Tatteiru,I'm Standing on a Million Lives,100-man no Inochi no Ue ni Ore wa Tatteiru,100万の命の上に俺は立っている,2020,FALL,TV,12,kitsu_43367,41380,116242,43367,15415,tt12706854,383518,99995,,completed,12,0,2025-02-15T18:43:03.532000+00:00,
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,I'm Standing on a Million Lives 2nd Season,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,100万の命の上に俺は立っている,2021,SUMMER,TV,12,mal_44881,44881,127366,43883,15930,tt12706854,383518,99995,1505135,completed,12,0,2026-07-05T13:37:56+00:00,
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,I'm Standing on a Million Lives 2nd Season,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,100万の命の上に俺は立っている,2021,SUMMER,TV,12,kitsu_43883,44881,127366,43883,15930,tt12706854,383518,99995,,completed,12,0,2025-02-15T18:43:40.186000+00:00,
11eyes,11eyes -Tsumi to Batsu to Aganai no Shoujo-,11eyes,11eyes イレブンアイズ,2009,FALL,TV,12,mal_6682,6682,6682,4662,6751,tt1515976,117851,44310,38606,completed,12,4,2026-07-21T18:20:02+00:00,
11eyes,11eyes -Tsumi to Batsu to Aganai no Shoujo-,11eyes,11eyes イレブンアイズ,2009,FALL,TV,12,kitsu_4662,6682,6682,4662,6751,tt1515976,117851,44310,,watching,6,0,2026-01-23T11:53:01.909000+00:00,
2.5-jigen no Ririsa,2.5 Dimensional Seduction - La Seduzione a 2.5 Dimensioni di Ririsa,2.5-jigen no Ririsa,2.5次元の誘惑,2024,SUMMER,TV,24,mal_53802,53802,158559,46842,17760,tt31141567,428168,216074,2054506,completed,24,7,2026-08-07T16:33:23+00:00,
2.5-jigen no Ririsa,2.5 Dimensional Seduction - La Seduzione a 2.5 Dimensioni di Ririsa,2.5-jigen no Ririsa,2.5次元の誘惑,2024,SUMMER,TV,24,kitsu_46842,53802,158559,46842,17760,tt31141567,428168,216074,,watching,2,0,2026-01-23T11:53:39.282000+00:00,
29-sai Dokushin Chuuken Boukensha no Nichijou,The Daily Life of a Single 29-Year-Old Adventurer,29-sai Dokushin Chuuken Boukensha no Nichijou,29歳独身中堅冒険者の日常,2026,WINTER,TV,12,mal_61637,61637,192261,49903,19324,tt38647627,463334,290667,2773404,completed,12,0,2026-07-21T18:20:18+00:00,
29-sai Dokushin Chuuken Boukensha no Nichijou,The Daily Life of a Single 29-Year-Old Adventurer,29-sai Dokushin Chuuken Boukensha no Nichijou,29歳独身中堅冒険者の日常,2026,WINTER,TV,12,kitsu_49903,61637,192261,49903,19324,tt38647627,463334,290667,,plantowatch,0,0,2026-01-24T22:34:18.023000+00:00,
29-sai Dokushin Chuuken Boukensha no Nichijou,The Daily Life of a Single 29-Year-Old Adventurer,29-sai Dokushin Chuuken Boukensha no Nichijou,29歳独身中堅冒険者の日常,2026,WINTER,TV,12,anilist_192261,61637,192261,49903,19324,tt38647627,463334,290667,,plantowatch,0,0,2026-01-24T22:34:18.023000+00:00,
91 Days,91Days,91 Days,91デイズ,2016,SUMMER,TV,12,mal_32998,32998,21711,11957,12014,tt5839706,309530,67043,570830,plantowatch,0,0,2026-08-07T21:10:41.801288+00:00,
91 Days,91Days,91 Days,91デイズ,2016,SUMMER,TV,12,kitsu_11957,32998,21711,11957,12014,tt5839706,309530,67043,,plantowatch,0,0,2026-01-23T11:24:17.581000+00:00,
[Oshi no Ko],[Oshi no Ko] Mother and Children,[Oshi no Ko],[推しの子],2023,SPRING,TV,11,mal_52034,52034,150672,46170,17449,tt21030032,421069,203737,1928828,completed,11,0,2026-07-21T18:20:10+00:00,
[Oshi no Ko],[Oshi no Ko] Mother and Children,[Oshi no Ko],[推しの子],2023,SPRING,TV,11,kitsu_46170,52034,150672,46170,17449,tt21030032,421069,203737,,watching,1,0,2026-06-30T11:43:54.749000+00:00,
[Oshi no Ko] 2nd Season,My Star Season 2,[Oshi no Ko] 2nd Season,[推しの子],2024,SUMMER,TV,13,mal_55791,55791,166531,47659,18086,tt21030032,421069,203737,2198092,watching,0,0,2026-08-07T21:10:41.801746+00:00,
[Oshi no Ko] 2nd Season,My Star Season 2,[Oshi no Ko] 2nd Season,[推しの子],2024,SUMMER,TV,13,kitsu_47659,55791,166531,47659,18086,tt21030032,421069,203737,,watching,0,0,2026-01-23T11:53:40.473000+00:00,
[Oshi no Ko] 3rd Season,My Star Season 3,[Oshi no Ko] 3rd Season,[推しの子],2026,WINTER,TV,11,mal_60058,60058,182587,49264,18901,tt21030032,421069,203737,2601794,plantowatch,0,0,2026-08-07T21:10:41.801865+00:00,
